Course_Name,Level,Rating,Skills,Number of students,Platform
Data Engineer,1,4.6,"Data Modeling, Data Pipelines, Data Lakes, Spark, Airflow",98175,Udacity
Data Scientist,2,4.7,"Machine Learning, Deep Learning, Software Engineering",89044,Udacity
Data Analyst,1,4.6,"Data Wrangling, Matplotlib, Bootstrapping, Pandas &amp; NumPy, Statistics",88873,Udacity
C++,1,4.6,"Data Structures &amp; Algorithms, Memory Management, Concurrency, Object-oriented Programming, C++",86627,Udacity
Product Manager,0,4.7,"Product Strategy, Product Design, Product Development, Design Sprint, Product Launch",99575,Udacity
Business Analytics,0,4.7,"Excel &amp; Spreadsheets, SQL, Data Visualization, Data Dashboards",83409,Udacity
Introduction to Programming,0,4.7,"Introduction to Programming, HTML, CSS, Python",96724,Udacity
Digital Marketing,0,4.7,"Digital Marketing, Social Media Marketing, Facebook Marketing, Search Engine Optimization, Search Engine Marketing, Display Ads, Search Ads",86609,Udacity
Deep Learning,1,4.7,"Deep Learning,  Neural Networks,  Jupyter Notebooks,  CNNs,  GANs",90799,Udacity
Blockchain Developer,1,4.5,"Ethereum Blockchain, Blockchain Architecture, Data Auditing",100524,Udacity
UX Designer,0,4.7,"User Research, User Experience, Prototyping, Interactive Design, User Interface Design, Usability Testing",86664,Udacity
Artificial Intelligence for Trading,1,4.6,"Momentum Trading Strategy, Smart Beta, Alpha Factors, Natural Language Processing, Deep Learning, Neural Networks",97393,Udacity
Machine Learning Engineer,1,4.6,"Machine Learning, Supervised Learning, Unsupervised Learning, Deep Learning",86814,Udacity
AI Programming with Python,0,4.6,"Python, NumPy, Pandas, Matplotlib, PyTorch",93792,Udacity
Front End Web Developer,1,4.6,"JavaScript, HTML, CSS, Webpack, Flexbox, Node, Object-oriented Programming",100428,Udacity
Full Stack Web Developer,1,4.5,"Python, JavaScript, PostgreSQL, Flask, Docker, Kubernetes",90290,Udacity
SQL,0,4.6,"SQL, PostgreSQL, JOINs, Subqueries, Window Functions, Partitions, Data Cleaning, DDL, DML, Relational and Non-Relational Databases",91245,Udacity
Machine Learning DevOps Engineer,2,4.581818182,"API development,  Automated model scoring,  CI/CD,  Model testing,  Data Version Control,  Machine Learning Pipelines",85998,Udacity
IntermediatePython,1,4.4,"Python, Object-oriented programming, Modular code, Python Package Index",99668,Udacity
React,1,4.6,"React, Redux, React Native",102201,Udacity
Java Developer,1,4.4,"Java, Spring Boot, Rest API, MySQL, MongoDB",100446,Udacity
AI for Healthcare,2,4.6,"Artificial Intelligence, 2D Medical Imaging, 3D Medical Imaging, Electronic Health Record Data, Deep Learning, Wearable Device Data, Supervised Learning",97054,Udacity
Data Product Manager,1,4.4,"Data Science, Product Management, Product Design, Data Visualization, User Journey Maps",98038,Udacity
Full Stack JavaScript Developer,1,4.581818182,"Creating an API,  Databases and SQL,  Node.js,  Angular,  TypeScript,  Deployment",84049,Udacity
Data Structures and Algorithms,1,4.7,"Data Structures and Algorithms, Problem Solving, Interview Practice Problems, Python",96401,Udacity
Java Programming,0,4.581818182,"Object-oriented programming,  functional programming,  I/O,  reflection,  concurrent programming,  Java modules",87738,Udacity
Android Kotlin Developer,1,4.7,"Android Development, Kotlin, Android Studio, Gradle, RESTful interfaces, Web APIs, App Architecture, Databases, Custom Views, Notifications, Location Services, Testing, Firebase",86050,Udacity
AI Product Manager,0,4.3,"AI Products, Training ML Models, Annotating Datasets, Prototyping a Product",87799,Udacity
Deep Reinforcement Learning,2,4.7,"Reinforcement Learning, Neural Networks, PyTorch, Deep Q-Networks (DQN), Deep Deterministic Policy Gradients (DDPG)",101047,Udacity
Cloud DevOps Engineer,1,4.6,"AWS, Configuration Management with Ansible, Continuous Integration / Continuous Deployment, Microservices with Kubernetes, CloudFormation",98199,Udacity
Computer Vision,2,4.7,"Convolutional Neural Networks, Recurrent Neural Networks, Simultaneous Localization and Mapping, Object Tracking, Image Classification, Deep Learning",89056,Udacity
Robotics Software Engineer,2,4.5,"C++, ROS, Localization, Mapping, SLAM, Navigation, Path Planning, Robot Operating System, Robotics",101314,Udacity
Natural Language Processing,2,4.5,"Machine Learning, Speech Recognition, Sentiment Analysis, Machine Translation, Part of Speech Tagging",97303,Udacity
Data Architect,2,4.4,"Entity relationship diagrams,  Relational Data Design,  Online Analytical Processing,  Operational Data Stores,  Data Lake Architecture,  Data Governance
",91185,Udacity
Cloud Developer,1,4.4,"AWS, Microservices, Serverless Architecture, Kubernetes",91525,Udacity
Intro to Self-Driving Cars,1,4.6,"Computer Vision, Machine Learning, Vehicle Motion, Control",84357,Udacity
Cloud Native Application Architecture,1,4.581818182,"Microservice architecture,  Kubernetes,  Continuous Integration,  Continuous Delivery,  Message Passing,  Observability,  Microservices security",93712,Udacity
Data Streaming,2,4.3,"Data Streaming, Spark, Kafka, Kafka Streaming, Spark Streaming",100281,Udacity
Introduction to Cybersecurity,0,4.5,"Threat Assessment, Security Vulnerabilities, Compliance, Governance, Risk, Incident Response",83934,Udacity
Data Analysis and Visualization with Power BI,0,4.581818182,"Power BI,  data visulations,  data modeling,  Extract-Transform-Load,  Data Analytics Expressions",94267,Udacity
Intro to Machine Learning with PyTorch,1,4.7,"Introduction to Machine Learning, Supervised Learning, Deep Learning, Unsupervised Learning",96455,Udacity
Sensor Fusion Engineer,2,4.7,"Perception, Lidar, Radar, Sensors, Computer Vision",93583,Udacity
Agile Software Development,0,4.6,"Agile, Scrum, Kanban, XP, Minimum Viable Product",97707,Udacity
Intro to Machine Learning with TensorFlow,1,4.7,"TensorFlow, Deep Learning, scikit-learn, Supervised Learning, Unsupervised Learning",95498,Udacity
Ethical Hacker,2,4.581818182,"Vulnerability Management,  Penetration Testing,  Reconnaissance,  Social Engineering,  Open-source intelligence,  System and Application Auditing",101985,Udacity
AWS Cloud Architect,2,4.6,"Cloud Infrastructure, Cloud Security, AWS, CloudFormation, High Availability Infrastructure, Serverless Computing",95573,Udacity
iOS Developer,0,4.6,"Swift programming, Core Data, UIKit, iOS networking, app publishing, User interfaces, Local Persistence, APIs",102950,Udacity
Cloud Developer using Microsoft Azure,1,4.581818182,"Virtual Machines,  App Services,  Microservices,  Serverless Functions,  Cloud Migration",102130,Udacity
IntermediateJavaScript,1,4.4,"Functional Programming, DOM, Data Structures, Asynchronous Programming, Synchronous Programming",93822,Udacity
AI for Business Leaders,1,4.6,"Artificial Intelligence, Machine Learning, Business Strategy, Data Labeling, Data Modeling",86182,Udacity
Predictive Analytics For Business,0,4.7,"Data Wrangling, Classification, A/B Testing, Forecasting, Segmentation",98794,Udacity
Marketing Analytics,0,4.6,"Google Analytics, Excel &amp; Spreadsheets, Data Visualization, Customer Segmentation",87139,Udacity
Machine Learning Engineer for Microsoft Azure,1,4.5,"Azure Machine Learning, Azure Machine Learning SDK, Automation with Pipelines, Automated ML, Machine Learning Operations
",102122,Udacity
Activation and Retention Strategy,1,4.581818182,"Product Management, Activation Funnels, Retention Analysis, Churn Analysis, Segment Analysis, User Engagement, Cohort Analysis",98266,Udacity
Android Basics,0,4.8,"Android Development, Java programming, Android Studio, XML layouts, Android Views",94278,Udacity
Security Engineer,1,4.581818182,"Cryptography, Risk Evaluation, Authentication, Authorization, Access
Management, Penetration Testing",84414,Udacity
Monetization Strategy,1,4.581818182,"Product Management, Monetization Models, Pricing Strategy, Buyer Personas, Lifetime Value, Customer Acquisition Cost, Pricing Metrics, Growth Strategy",85593,Udacity
Artificial Intelligence,2,4.5,"AI Algorithms, Search Algorithms, Optimization, Planning, Pattern Recognition",87962,Udacity
Security Analyst,1,4.581818182,"Security controls,  Defensible Network Architecture,  security threat mitigation,  threat modeling,  vulnerability assessment,  incident detection and handling",92748,Udacity
Data Visualization,0,4.6,"Data Visualization, Tableau, Dashboards, Data Storytelling",86479,Udacity
Flying Car and Autonomous Flight Engineer,2,4.6,"3D Motion Planning, Controls, Estimation, Kalman Filters",101230,Udacity
Data Science for Business Leaders,1,4.4,"Business Strategy, Data Science, Data Architecture, Machine Learning, Human Capital",87253,Udacity
Programming for Data Science with R,0,4.8,"R, SQL, Git",84614,Udacity
Growth Product Manager,1,4.581818182,"Product Management, Growth Strategy, Customer Acquisition, Activation Strategy, Monetization Strategy, Performance Optimization",101257,Udacity
Cloud DevOps using Microsoft Azure,1,4.2,"Infrastructure as Code,  Configuration Management,  Agile Planning,  Continuous Integration,  Continuous Delivery,  Test Automation,  Monitoring",92786,Udacity
RPA Developer with UiPath,0,4.581818182,"Process Automation, Business Operations, UiPath Studio, UiPath Orchestrator",101174,Udacity
Intel® Edge AI for IoT Developers,2,4.7,"Edge AI, Computer Vision, Deep Learning, Edge Computing, AI Modeling, Deep Neural Networks (DNN), Convolutional Neural Networks (CNN), IoT, Intel® Distribution of OpenVINO Toolkit, Intel® DevCloud for the Edge",98730,Udacity
